algorithm,n_patrons,waiting_mean_mean,waiting_mean_std,waiting_median_mean,waiting_median_std,waiting_std_mean,waiting_std_std,waiting_min_mean,waiting_min_std,waiting_max_mean,waiting_max_std,response_mean_mean,response_mean_std,response_median_mean,response_median_std,response_std_mean,response_std_std,response_min_mean,response_min_std,response_max_mean,response_max_std,turnaround_mean_mean,turnaround_mean_std,turnaround_median_mean,turnaround_median_std,turnaround_std_mean,turnaround_std_std,turnaround_min_mean,turnaround_min_std,turnaround_max_mean,turnaround_max_std,throughput_mean,throughput_std
PRIORITY,30,383.8933107132702,45.78856904336802,69.66666666666667,1.1547005383792526,794.9755726615416,158.1704667835348,0.0,0.0,3518.6666666666665,549.8784714219437,383.8933107132702,45.78856904336802,69.66666666666667,1.1547005383792526,794.9755726615416,158.1704667835348,0.0,0.0,3518.6666666666665,549.8784714219437,443.3927461745198,47.15367104668719,143.33333333333334,16.041612554021288,798.1175057042009,159.70830859257225,22.666666666666668,2.886751345948129,3587.3333333333335,542.7940063535459,16.048722973192685,0.2499621671806534
PRIORITY,50,1165.0138777546185,73.87796887206058,71.33333333333333,6.027713773341708,2539.6249430000466,59.11428666566522,0.0,0.0,10266.0,775.2244836174874,1165.0138777546185,73.87796887206058,71.33333333333333,6.027713773341708,2539.6249430000466,59.11428666566522,0.0,0.0,10266.0,775.2244836174874,1230.0650401724477,74.38185169652563,145.66666666666666,12.897028081435401,2538.769546765549,63.79872090489583,22.333333333333332,1.5275252316519463,10319.666666666666,754.1944930409749,14.90225013349974,0.16525258871346915
MLFQ,10,43.126880887856494,14.450647799247234,19.0,7.937253933193772,54.341294210389606,18.779730509233318,0.6666666666666666,0.5773502691896258,212.33333333333334,81.83723683833254,19.795302619692865,7.685293342882512,9.0,11.269427669584644,26.30660821678696,5.196344537263296,0.3333333333333333,0.5773502691896258,100.66666666666667,13.051181300301261,102.1599432184798,11.096734994393834,75.83333333333333,4.645786621588786,83.9272014631037,12.946265658871154,21.666666666666668,0.5773502691896255,419.0,82.21313763626833,10.776347029075078,2.4138639962456296
MLFQ,20,226.262258368694,49.839596046843795,78.16666666666667,7.251436639269032,424.36167321916497,172.84588447751628,0.3333333333333333,0.5773502691896258,2312.0,1018.4787675744644,40.30114038189533,3.8246399784691687,35.666666666666664,7.2858309981314635,32.82225731915066,2.267362222652275,0.0,0.0,136.66666666666666,1.5275252316519499,287.5355865943737,45.269229935264576,124.5,15.787653403846944,462.04418489374785,174.29931942149477,25.0,2.6457513110645907,2524.0,1013.0533056063733,15.27829776127762,1.7427335462118065
MLFQ,30,448.93697500945177,58.07512477832898,104.66666666666667,36.11555528208494,736.7409745955198,68.80168631956509,0.0,0.0,4387.0,629.9531728628724,43.73856252194448,5.871214588306717,37.666666666666664,3.511884584284247,33.07682593695224,4.559679772174301,0.0,0.0,154.0,20.223748416156685,567.7377475834596,70.16248192932647,145.33333333333334,36.69241520169166,946.6468827565795,120.66722824955998,22.0,2.6457513110645907,5355.666666666667,360.89379785933335,15.575837778476611,0.23023659073647706
MLFQ,50,1332.9167085315232,109.9828882399722,203.33333333333334,40.91861841916627,1602.611179418442,40.07144993961976,0.0,0.0,5831.333333333333,646.1581333801604,70.70141093474427,10.922891905289067,58.666666666666664,14.153915830374762,58.88880408852565,13.27469991840697,0.0,0.0,248.0,52.67826876426369,1549.50312294016,112.81439562992769,266.0,35.93048844644336,2067.1327777378606,71.10346709765487,26.666666666666668,5.033222956847167,9598.666666666666,565.637987880352,14.280642692921893,0.3570334366368404
LOTTERY,10,39.132029939347014,13.491815289864677,7.666666666666667,8.962886439832502,56.26393275073641,14.086816439100001,0.0,0.0,215.66666666666666,34.530180036213736,39.132029939347014,13.491815289864677,7.666666666666667,8.962886439832502,56.26393275073641,14.086816439100001,0.0,0.0,215.66666666666666,34.530180036213736,96.97207381597626,9.396187408123453,80.5,13.105342422081156,66.53418765823339,8.687850384288085,23.333333333333332,2.5166114784235827,255.33333333333334,33.201405592735576,10.867701101609734,2.4882998362342525
LOTTERY,20,228.4032688983184,48.510981409366465,205.66666666666666,85.06810996685734,181.59592619977832,42.655686496492955,0.6666666666666666,0.5773502691896258,721.3333333333334,88.46091415610248,228.4032688983184,48.510981409366465,205.66666666666666,85.06810996685734,181.59592619977832,42.655686496492955,0.6666666666666666,0.5773502691896258,721.3333333333334,88.46091415610248,287.9934730080151,45.1404662601609,270.1666666666667,77.25660705294618,190.0142842402864,43.53683380499907,23.333333333333332,2.309401076758503,747.6666666666666,88.44395588921459,15.435320439571589,1.9737916435270233
LOTTERY,30,504.33631463711936,72.16162744783784,500.3333333333333,57.657031950433705,318.25937611296894,65.18943999886822,0.6666666666666666,0.5773502691896258,1101.3333333333333,278.7998087039038,504.33631463711936,72.16162744783784,500.3333333333333,57.657031950433705,318.25937611296894,65.18943999886822,0.6666666666666666,0.5773502691896258,1101.3333333333333,278.7998087039038,564.0328109023056,73.96733587066481,548.3333333333334,66.01767440112788,320.5033804477185,66.89295393665903,25.333333333333332,3.785938897200182,1173.0,271.0645679538364,16.189890784230613,0.19429438470883548
LOTTERY,50,1535.7801507134839,114.36461077460325,1248.8333333333333,65.1926631863842,1212.72888654952,118.0883008968211,1.0,1.0,5582.666666666667,891.4198412270916,1535.7801507134839,114.36461077460325,1248.8333333333333,65.1926631863842,1212.72888654952,118.0883008968211,1.0,1.0,5582.666666666667,891.4198412270916,1601.2012844494327,114.40827359655688,1331.8333333333333,113.88188325336621,1215.290018383992,119.45803621350152,27.0,3.4641016151377544,5611.666666666667,894.7884293693863,14.991461249738009,0.08909099579581134
